player,squad,position,games,minutes,minutes_90s,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,xg_net,cost,points,ppg,ppc,pen_conv
James Maddison,Leicester City,MF,31.0,2624.0,29.2,0.0,4.0,0.0,0.21,0.1,0.31,0.31,0.17,0.25,0.42,0.17,0.42,1.0,7.0,125.0,4.032258064516129,17.857142857142858,0.0
Riyad Mahrez,Manchester City,FW,33.0,1944.0,21.6,1.0,0.0,0.0,0.51,0.42,0.93,0.88,0.34,0.42,0.75,0.3,0.72,3.8,8.5,175.0,5.303030303030303,20.58823529411765,1.0
Sadio Mané,Liverpool,FW,35.0,2747.0,30.5,0.0,3.0,0.0,0.59,0.23,0.82,0.82,0.44,0.23,0.67,0.44,0.67,4.5,12.0,221.0,6.314285714285714,18.416666666666668,0.0
Anthony Martial,Manchester Utd,FW,32.0,2624.0,29.2,1.0,1.0,0.0,0.58,0.21,0.79,0.79,0.38,0.14,0.52,0.35,0.49,6.0,9.0,200.0,6.25,22.22222222222222,0.0
Juan Mata,Manchester Utd,"MF,FW",19.0,758.0,8.4,0.0,1.0,0.0,0.0,0.24,0.24,0.24,0.14,0.23,0.37,0.14,0.37,-1.2,6.0,38.0,2.0,6.333333333333333,0.0
Nemanja Matić,Manchester Utd,MF,21.0,1581.0,17.6,0.0,3.0,0.0,0.0,0.11,0.11,0.11,0.01,0.07,0.08,0.01,0.08,-0.2,5.0,55.0,2.619047619047619,11.0,0.0
Neal Maupay,Brighton,FW,37.0,2766.0,30.7,2.0,3.0,0.0,0.33,0.1,0.42,0.39,0.37,0.08,0.44,0.32,0.4,-1.2,6.5,131.0,3.5405405405405403,20.153846153846153,0.5
James McArthur,Crystal Palace,MF,37.0,3090.0,34.3,0.0,6.0,0.0,0.0,0.09,0.09,0.09,0.07,0.08,0.15,0.07,0.15,-2.4,5.5,92.0,2.4864864864864864,16.727272727272727,0.0
Oliver McBurnie,Sheffield Utd,FW,36.0,2113.0,23.5,0.0,4.0,0.0,0.26,0.0,0.26,0.26,0.33,0.06,0.39,0.33,0.39,-1.7,6.0,86.0,2.388888888888889,14.333333333333334,0.0
James McCarthy,Crystal Palace,MF,33.0,1680.0,18.7,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.03,0.07,-0.5,5.5,92.0,2.787878787878788,16.727272727272727,0.0
John McGinn,Aston Villa,MF,28.0,2312.0,25.7,0.0,3.0,0.0,0.12,0.12,0.23,0.23,0.15,0.09,0.24,0.15,0.24,-0.9,5.5,84.0,3.0,15.272727272727273,0.0
David McGoldrick,Sheffield Utd,FW,28.0,1815.0,20.2,0.0,2.0,0.0,0.1,0.1,0.2,0.2,0.35,0.1,0.46,0.35,0.46,-5.1,5.5,65.0,2.3214285714285716,11.818181818181818,0.0
Dwight McNeil,Burnley,MF,38.0,3338.0,37.1,0.0,5.0,0.0,0.05,0.16,0.22,0.22,0.06,0.18,0.24,0.06,0.24,-0.2,6.0,123.0,3.236842105263158,20.5,0.0
Scott McTominay,Manchester Utd,MF,27.0,1772.0,19.7,0.0,2.0,0.0,0.2,0.05,0.25,0.25,0.07,0.03,0.11,0.07,0.11,2.5,5.0,74.0,2.740740740740741,14.8,0.0
Luka Milivojević,Crystal Palace,MF,31.0,2513.0,27.9,2.0,12.0,0.0,0.11,0.04,0.14,0.07,0.09,0.07,0.15,0.03,0.1,0.5,6.0,81.0,2.6129032258064515,13.5,1.0
Aaron Mooy,Brighton,"MF,FW",31.0,2085.0,23.2,0.0,3.0,1.0,0.09,0.09,0.17,0.17,0.09,0.14,0.23,0.09,0.23,0.0,5.0,80.0,2.5806451612903225,16.0,0.0
Wesley Moraes,Aston Villa,FW,21.0,1782.0,19.8,1.0,3.0,0.0,0.25,0.05,0.3,0.3,0.26,0.04,0.3,0.22,0.26,-0.2,6.0,67.0,3.1904761904761907,11.166666666666666,0.0
Mason Mount,Chelsea,"MF,FW",37.0,2867.0,31.9,0.0,3.0,0.0,0.22,0.16,0.38,0.38,0.22,0.15,0.37,0.22,0.37,0.0,7.0,137.0,3.7027027027027026,19.571428571428573,0.0
Lucas Moura,Tottenham,"FW,MF",35.0,2242.0,24.9,0.0,3.0,0.0,0.16,0.16,0.32,0.32,0.23,0.1,0.33,0.23,0.33,-1.7,7.0,100.0,2.857142857142857,14.285714285714286,0.0
